,date,month,year,marsh_shore_doc,marsh_shore_doc_se,marsh_shore_no2,marsh_shore_no2_se,marsh_shore_no3,marsh_shore_no3_se,marsh_shore_nh4,marsh_shore_nh4_se,marsh_shore_po4,marsh_shore_po4_se,marsh_shore_cl,marsh_shore_cl_se,marsh_shore_cond,marsh_shore_cond_se,marsh_shore_spec_cond,marsh_shore_spec_cond_se,marsh_shore_temperature_c,marsh_shore_temperature_se,marsh_shore_ph,marsh_water_doc,marsh_water_doc_se,marsh_water_no2,marsh_water_no2_se,marsh_water_no3,marsh_water_no3_se,marsh_water_nh4,marsh_water_nh4_se,marsh_water_po4,marsh_water_po4_se,marsh_water_cl,marsh_water_cl_se,marsh_water_cond,marsh_water_cond_se,marsh_water_spec_cond,marsh_water_spec_cond_se,marsh_water_temperature_c,marsh_water_temperature_se,marsh_water_ph
1,7/1/11,7,2011,NA,NA,0.060966667,0.056018816,0.451666667,0.439167046,0.3021,0.138840712,2.17,0.293655127,349,13.65039682,1880,106.1005812,1886.666667,101.262585,25.16666667,NA,NA,NA,NA,0.221666667,0.057324612,1.463333333,0.20019435,0.519333333,0.271932181,1.953333333,0.165058912,327,11.37248141,1758.666667,4.05517502,1944.333333,19.41076448,30.46666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9/1/11,9,2011,14.44666667,1.730648562,0.0033,0.000459239,0.015733333,0.003753369,0.042766667,0.019460159,1.793333333,0.261873591,336.6666667,33.71613527,1913.333333,46.69165997,2099.333333,136.7727231,20.3,NA,NA,7.832666667,0.632396061,0.241666667,0.018888562,4.326666667,0.221535049,0.585666667,0.171262307,1.933333333,0.351962751,254,31.32091953,1565.666667,121.8911172,1795.666667,78.49911535,24,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11/1/11,11,2011,9.031333333,1.767770944,0.00577,0.001772117,0.013173333,0.003846216,0.2407,0.216240753,2.95,0.168226038,469.6666667,45.88512226,1389.333333,238.4060495,1746.666667,345.3000306,14.63333333,NA,NA,9.763,3.768964624,0.237,0.018330303,NA,NA,NA,NA,3.036666667,0.226740184,292.3333333,19.16884046,1262,69.16887547,1529,5.196152423,15.56666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1/1/12,1,2012,9.694333333,1.6030384,0.009713333,0.004594784,0.048036667,0.022196239,0.205666667,0.142358612,27,8.2,2910,947.3295801,1327.666667,132.3648157,2009.333333,205.3731022,7.1,NA,NA,6.118666667,0.052543104,0.255,0.004358899,4.406666667,0.637608379,0.888666667,0.15164139,19.53333333,3.526250763,1813.333333,237.2996231,1221.333333,25.78328485,1510.333333,11.72367026,15.06666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/1/12,3,2012,10.28166667,1.066374283,0.006846667,0.001686261,0.040696667,0.019695364,0.0548,0.020812736,3.183333333,0.13593299,379.6666667,92.7224053,1439,164.0822964,2088,246.4332229,8.833333333,NA,NA,6.774333333,0.032199034,0.252666667,0.013691035,2.206666667,0.060644685,1.353333333,0.147459976,2.466666667,0.267353283,233.3333333,30.23427047,1452,24.17298768,1674.666667,6.227180564,18,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5/1/12,5,2012,44.55,4.887149817,NA,NA,0,0,0.038628167,0.024322148,19.1,1.975685535,1746.666667,174.5788583,1874,143.5653161,2199,231.4238536,17.7,NA,NA,23.53666667,2.132676982,NA,NA,2.703333333,0.190991565,0.369333333,0.165837605,15.6,0.73711148,1173.333333,79.65202097,1648,144.7618734,1776,1.154700538,26.56666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7/1/12,7,2012,19.613494,3.776763661,0.013543333,0.003744802,0.019033333,0.009813653,0.064533333,0.031919291,2.83,0.352467493,224.3333333,32.98652924,2620,272.4634532,2584,254.1600546,25.7,NA,NA,6.367600224,0.150986202,0.133333333,0.008950481,2.793333333,0.323384876,0.390666667,0.079350138,2.153333333,0.139323764,181.3333333,21.15288265,2190.666667,10.10500426,1968,18.87679351,31,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9/1/12,9,2012,25.55666667,5.097131001,0.021513333,0.013255169,0.05027,0.034636372,0.094066667,0.021310509,2.113333333,0.231324688,481.6666667,43.70100431,2378.666667,204.883978,2431.333333,166.5105936,22.13333333,NA,NA,15.17666667,0.944763345,0.172666667,0.014621141,2.63,0.234378611,0.649666667,0.068167278,2.436666667,0.067659277,360.6666667,29.35037384,2034.333333,65.31037011,1955.666667,52.12911321,30,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11/1/12,11,2012,25.12333333,2.690764039,0.031526333,0.029551104,0.1787,0.166307917,0.108933333,0.048145936,2.583333333,0.108678936,540.6666667,44.38217861,1922,199.0276363,2480.666667,190.6832743,14.5,NA,NA,17.80666667,0.460591407,0.222,0.030413813,3.3,0.212210587,0.817666667,0.227262208,2.85,0.025166115,383.3333333,2.905932629,1797.666667,36.25986456,1849.666667,3.48010217,23.23333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1/1/13,1,2013,18.42333333,1.429386038,0.084533333,0.044466367,NA,NA,NA,NA,NA,NA,NA,NA,1387.333333,128.7495415,1912.666667,208.0275089,10.73333333,NA,NA,14.93,0.501431285,0.337666667,0.031671929,3.076666667,0.032829526,1.44,0.049328829,NA,NA,NA,NA,1573.333333,55.6696606,1777.666667,5.04424865,18.93333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3/1/13,3,2013,47.04,12.30951258,0.007183333,0.002669609,0.005966667,0.005966667,NA,NA,3.483333333,0.111405166,20.7,2.837839554,1790,157.9883962,2288.666667,179.356566,13.63333333,NA,NA,20.65666667,0.307155408,0.281333333,0.023024142,4.036666667,0.014529663,0.849333333,0.204809939,2.52,0.07,14.03333333,1.013793755,1632.666667,42.28606285,1676.666667,3.844187532,23.63333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5/1/13,5,2013,NA,NA,0.06955,0.062225174,0.012706667,0.003195212,0.0612,0.023795448,2.786666667,0.035276684,22.36666667,2.466666667,1674,329.5102426,1833.666667,412.872189,20.46666667,NA,NA,18.12666667,3.100496376,0.836666667,0.691744735,1.049,0.063174362,1.115,0.221189964,1.69,0.215483951,16.6,1.159022577,1677.333333,27.71481754,1586.666667,14.19311257,28.03333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7/1/13,7,2013,38.10666667,8.759271913,0.010623333,0.001434763,-0.047766667,0.006595285,NA,NA,2.76,0.057735027,16.14,7.91889723,2722,314.7957009,2685.666667,300.06129,26.1,NA,NA,11.20666667,0.552519482,0.205,0.018823744,8.153333333,0.083732378,NA,NA,1.956666667,0.119768295,14.7,7.259706146,2182.333333,11.56623438,1957.666667,5.456901848,30.8,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9/1/13,9,2013,34.04333333,9.225201594,0.014033333,0.005556478,-0.006383333,0.004759665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,7.764666667,0.974772167,0.314,0.053687367,3.913333333,0.107134391,0.838333333,0.192537731,NA,NA,NA,NA,NA,NA,NA,NA,31.66666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11/1/13,11,2013,61.57666667,8.681200634,0.018606667,0.012205319,0.014756667,0.011359895,1.017,0.491348145,NA,NA,NA,NA,2580,534.8008975,NA,NA,6.806666667,NA,NA,20.71,0.62171805,0.279333333,0.020626305,4.063333333,0.203660938,1.14,0.092915732,NA,NA,NA,NA,1462.333333,32.98652924,NA,NA,16.99,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1/1/14,1,2014,39.07666667,9.766821956,0.026433333,0.005241289,0.0254,0.005458022,0.067566667,0.022635984,0.251333333,0.019427929,0.399333333,0.11217001,2365.666667,401.0030479,NA,NA,7.443333333,NA,NA,13.63333333,0.488410119,3.4,0.375277675,3.45,0.315647483,1.29,0.231156513,0.194333333,0.005783117,0.147,0.007767453,1448,3.214550254,NA,NA,17.38333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3/1/14,3,2014,48.75333333,8.107160073,0.008643333,0.00052505,0.007976667,0.009245017,0.069066667,0.01720478,0.346666667,0.037600236,0.587666667,0.129544501,1937.333333,344.5259223,2503.666667,501.8832312,11.2,NA,NA,20.64,1.031035079,0.367333333,0.009386752,2.186666667,0.182695861,1.78,0.386264158,0.254333333,0.001855921,0.314333333,0.006227181,1533.666667,31.75076552,1664.333333,8.452481555,20.9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5/1/14,5,2014,48.87333333,10.0185783,0.005643333,0.005247362,0.014093333,0.004451372,0.136866667,0.046041479,3.453333333,0.987544654,0.309666667,0.06219414,2085.333333,332.9671322,2516.666667,372.6089699,12.96666667,NA,NA,20.79333333,0.283215662,0.066233333,0.014141232,1.493333333,0.213645605,0.260666667,0.094322732,2,0.188237439,0.143333333,0.014426057,1620,8.621678104,1678,9.814954576,23.2,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7/1/14,7,2014,NA,NA,NA,NA,0.00688,0.001687434,0.078533333,0.038100846,0.083333333,0.014411724,NA,NA,3063.333333,481.298706,2990.666667,485.0616227,26.43333333,NA,NA,NA,NA,NA,NA,2.95,0.127410099,0.848333333,0.183991244,0.275,0.002081666,NA,NA,2047,6.557438524,1824.333333,4.977728174,31.36666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9/1/14,9,2014,NA,NA,NA,NA,0.002180333,0.001331633,0.484333333,0.044363398,240.3333333,69.67145119,NA,NA,2285.333333,356.1087537,2482.333333,401.4433681,20.86666667,NA,NA,NA,NA,NA,NA,2.33,0.945727233,1.213333333,0.041766547,217,19.13983629,NA,NA,1727.666667,30.59593292,1654.666667,58.81420841,27.4,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,11/1/14,11,2014,NA,NA,0.035433333,0.022390052,0.071633333,0.0561834,0.292333333,0.045578991,244.3333333,47.41776507,NA,NA,1567,240.3254738,2178,342.5842962,10.36666667,NA,NA,NA,NA,0.294333333,0.009261629,3.543333333,0.128105859,1.198333333,0.204579515,253,5.033222957,NA,NA,1429.666667,137.0891843,1334,27.30079364,21.26666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1/1/15,1,2015,NA,NA,0.025676667,0.010126988,0.11656,0.059420818,0.185816333,0.142224198,287.3333333,51.33333333,NA,NA,1223,108.0246885,1796,158.206616,8.233333333,NA,NA,NA,NA,0.239,0.021794495,3.106666667,0.242853408,1.468333333,0.36656438,321.6666667,12.19744964,NA,NA,1260,20.66397832,1434,13.20353488,18.66666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3/1/15,3,2015,NA,NA,0.014166667,0.001816896,0.010173333,0.006033576,2.363333333,0.609106814,283.6666667,30.50865087,NA,NA,1872.333333,180.9993861,2269,220.3550166,15.93333333,NA,NA,NA,NA,0.274333333,0.044685319,2.573333333,0.096666667,1.344666667,0.565319182,214,25.98076211,NA,NA,1516.666667,22.9298447,1634.666667,6.887992773,23.03333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5/1/15,5,2015,NA,NA,0.141,0.015947832,0.910666667,0.412634355,0.482333333,0.255356831,305,75.05553499,21.43333333,3.769320599,2101.333333,266.3583634,2386.666667,335.9073946,18.96666667,NA,NA,NA,NA,0.080193333,0.074904722,0.58793,0.586036021,0.263566667,0.186452857,274,11.8462371,18.26666667,0.753510304,1705.333333,11.09554465,1706.666667,4.910306621,24.96666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7/1/15,7,2015,NA,NA,0.005293333,0.003247673,0.0036,0.0036,0.292,0.062292322,303.3333333,116.453615,41.7,4.450842617,3327,411.4936208,2811.666667,346.5979098,25.4,NA,NA,NA,NA,0.235333333,0.025300417,2.866666667,0.36861603,0.687,0.11574253,269.6666667,8.685876147,30.56666667,1.983543406,2354.666667,26.90931272,1407,693.1625591,28.6,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9/1/15,9,2015,NA,NA,0.080426667,0.071787804,0.607166667,0.586423915,0.672666667,0.307852959,300,47.69696007,37.7,12.78918814,3692,701.9874168,3598.666667,707.047696,26.63333333,NA,NA,NA,NA,0.165333333,0.010038814,2.223333333,0.584731657,1.019,0.192486363,145,6.350852961,18.63333333,1.93419521,2369.666667,5.607534614,2156.666667,14.62114147,30.23333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,11/1/15,11,2015,7.701666667,1.590861856,0.161333333,0.055034333,1.172,0.658878846,0.370333333,0.129786149,192.6666667,14.62114147,13.3,0.458257569,1380,154.029218,1844.666667,233.1711341,12.23333333,NA,NA,5.896333333,0.061885198,0.215,0.006110101,3.036666667,0.399763819,0.714,0.049426713,212,5.567764363,11.63333333,0.384418753,1462,40.0666112,1551,13,21.86666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1/1/16,1,2016,NA,NA,0.277,0.017897858,1.663,0.720084949,0.300933333,0.189914729,259.6666667,31.22143139,27.26666667,2.274740522,1221.333333,121.9239289,1830.333333,198.690994,7.7,NA,NA,NA,NA,0.268,0.036115555,4.296666667,0.600481288,1.266,0.159361225,303.3333333,1.763834207,22.4,1.205542755,1362.333333,22.67401842,1596.666667,3.382963855,16.93333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3/1/16,3,2016,13.907,2.648454707,0.009003333,0.002715206,0.0422,0.016601606,0.325333333,0.069383796,NA,NA,NA,NA,1596,136.3867051,2064,176.5483881,12.66666667,NA,NA,7.334333333,0.208991494,0.254,0.018147543,2.37,0.167032931,0.989333333,0.254322848,NA,NA,NA,NA,1444,23.00724524,1555.333333,9.207484878,21.06666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5/1/16,5,2016,12.36866667,1.687475959,0.057443333,0.047341517,0.399566667,0.360511536,0.1965,0.147857195,260.6666667,3.666666667,40.33333333,3.831593808,2384,255.9765614,2519.333333,313.8584253,19.1,NA,NA,23.88666667,9.602564472,0.255666667,0.010989894,3.373333333,0.243333333,0.735666667,0.114781435,254,7,29.86666667,3.000185179,2205.666667,4.176654695,2190,16.50252506,25.40666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7/1/16,7,2016,17.30333333,1.000138879,0.01798,0.00976977,0.059196667,0.033009847,0.300333333,0.047949047,210,49.65212315,37.2,5.202883816,2951,207.447182,2912.333333,195.3051743,25.16666667,NA,NA,9.152666667,0.745849925,0.252,0.009643651,2.873333333,0.119210365,0.543,0.137077837,198,14.84362939,43.9,0.493288286,2476.666667,15.07020607,2250.666667,10.58825345,30.3,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9/1/16,9,2016,NA,NA,0.0712,0.032035813,0.155666667,0.066242819,1.230333333,0.438375917,153.6333333,54.66596544,32.8,1.18462371,2590.666667,126.3808178,2647.666667,135.0868034,23.86666667,NA,NA,NA,NA,0.291,0.053891867,2.266666667,0.22578259,1.034,0.1478152,232.6666667,6.333333333,28.86666667,2.130988294,2346.333333,31.99131827,2201.333333,36.35167733,28.63333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11/1/16,11,2016,NA,NA,0.105333333,0.036662121,0.546333333,0.213644825,0.613666667,0.128613547,NA,NA,NA,NA,1867.666667,178.3791218,2288.333333,239.7153404,19.2,NA,NA,NA,NA,0.231333333,0.006489307,3.103333333,0.194707758,1.243333333,0.062271806,NA,NA,NA,NA,1567.333333,32.51837088,1570.666667,8.950481055,24.9,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1/1/17,1,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3/1/17,3,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5/1/17,5,2017,NA,NA,0.020453333,0.011629711,0.288633333,0.23076476,0.148833333,0.060144502,284.3333333,18.20561574,27.26666667,0.768837506,1777.333333,44.58076317,1905.333333,36.978973,21.66666667,NA,NA,NA,NA,0.118533333,0.015308531,2.243333333,0.283450956,0.389666667,0.155623834,284.6666667,13.48249894,27.7,1.724335621,2011.333333,44.10719266,1914.666667,38.22012268,27.76666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7/1/17,7,2017,NA,NA,0.06209,0.029457163,0.5146,0.263597597,0.306333333,0.105921879,217,26.21068484,17.5,1.357694124,2523,123.710684,2249.333333,55.42963507,27.5,NA,NA,NA,NA,0.126666667,0.002333333,3.786666667,0.103976493,0.548666667,0.087392474,195.3333333,21.60504056,17.36666667,3.164560703,2389.333333,8.29323687,2133,7.094598885,31.33333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9/1/17,9,2017,NA,NA,0.0442,0.009063296,1.208333333,0.453967082,0.066866667,0.034512671,268.3333333,4.666666667,41.33333333,1.333333333,1858,38.22302971,2157,53.9845657,17.66666667,NA,NA,NA,NA,0.089533333,0.004280706,3.713333333,0.133458275,0.332333333,0.057521976,269.6666667,8.212456663,37.6,1.12398102,2114.666667,22.48209164,2043.666667,9.279607271,26.86666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11/1/17,11,2017,7.432666667,0.149102128,0.043966667,0.017207104,1.566666667,0.648082642,0.105666667,0.046591606,142,9.291573243,14.83333333,1.238726945,1305.666667,22.06304099,1617.333333,29.79000578,14.96666667,NA,NA,6.768,0.30618023,0.134333333,0.004333333,3.776666667,0.661824079,0.898666667,0.028620117,129.3333333,6.691619967,14.23333333,0.926162933,1548.333333,22.15350486,1563.666667,4.409585518,24.5,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1/1/18,1,2018,8.251333333,0.722381786,0.119833333,0.039136868,1.373,0.496822235,0.266666667,0.026995884,138,10.78579312,23.4,2.579405616,1219.666667,69.66666667,1780.666667,91.52473861,8.433333333,NA,NA,7.534333333,0.265475883,0.204333333,0.015387585,2.326666667,0.031797973,1.533333333,0.076230644,133.6666667,9.683892698,22.36666667,0.317979734,1382.666667,30.80223657,1539,6.806859286,19.73333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2/1/18,2,2018,NA,NA,NA,NA,NA,NA,0.473333333,0.305645946,258,4,25.6,0.871779789,1171.333333,92.51005951,1842,103.9663407,5.866666667,NA,NA,NA,NA,NA,NA,NA,NA,0.599033333,0.259152596,258.3333333,22.78400999,25.6,4.387862046,1428,12.12435565,1598,10.0166528,19.43333333,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3/1/18,3,2018,11.76133333,1.057560925,0.019021,0.012495158,NA,NA,NA,NA,328.3333333,12.01850425,27.36666667,1.669663972,1266.666667,100.5142334,1662,107.6769861,12.5,NA,NA,7.487666667,0.164647435,0.128333333,0.009061518,NA,NA,NA,NA,264.3333333,7.218802609,25.46666667,1.225198397,1407.666667,42.72912096,1518.333333,30.83468466,21,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4/1/18,4,2018,NA,NA,0.033876667,0.016421801,NA,NA,NA,NA,NA,NA,NA,NA,1793,18.33030278,2106,19.50213664,17.16666667,NA,NA,NA,NA,0.171333333,0.009386752,NA,NA,NA,NA,NA,NA,NA,NA,1976,12.85820101,1989,18.58314649,24.66666667,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5/1/18,5,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860,43.48562981,2182,34.94757979,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2134,2.081665999,2100.666667,14.26339526,26.13333333,NA,NA